Sentiments,Reviews
negative,It wasnt.stasfictory cheap profuct 1 airbud works hardly.1 hour 2nd one half and hour
positive,All the vegetable's were in good condition fresh and cheap then market i recommend everyone to buy
positive,HONESTLY SAYING THIS CREATINE IS ONE OF THE BEST AVAILABLE IN MARKET. I TEAR THE SEAL MYSELF. PACKAGE WAS DELIVERED WITH SAFETY AND IN TIME.LOOKING FORWARD TO SEE GOOD RESULTS . I WILL ORDER ANOTHER.
negative,look at the red circle quality not good.
negative,Sb se pehly delivery delay kr di jis ka mane phr b intzar kiya. Usk bd product mili to ye bilkul b original product ni h. Ak side chalty chalty bnd ho jati h or agr handfree kisi b cheez se touch kry to sound quality buri ho jati h. Overall totally disappointed 
positive,"nicely packed, same as shown, same color which i ordered, highly recommended 😊👍"
positive,Quality bht achi ha and sound bht fit hein or bht hi munasib rate py achi mil gai thank you 
positive,today I ordered these gorgeous platinum grey lenses second time. these are so beautiful love it.. thank you!
negative,"Freaking fraud 
On "
negative,size of the item is so small that it cant be used for laundry purpose.
neutral,very good but not timely delivered ok 
negative,packe mil gya hy lekn kisi kaam ki chez nhi hy mujhy wapis krna hy isko 
positive,"Daraz fresh Always give Good Quality & Cheap Price compare to Market, Thanks Daraz fresh for making our shopping easy"
negative,what a gamer u guys are I'm impressed and this 1 star is for this scam situation not for you product if product really worth 100 Rs ... you making people and daraz fool as showing your name As Flag Ship store i don't know why daraz don't take action regarding these cheap sellers who are making market place garbage and treat customers like a garbage. thanks
positive,good product and good packing 
neutral,"The packaging was good, The color was ok"
positive,bht achi quality hai jaisy Socha tha us zaida acha hai thank u daraz🤗
positive,This product is so amazing.It has all function and all are workable.All function works. I want to buy more .charging time is excellent as price. Thanks Daraz.
positive,today I received my package but battery is missing what hill of this where is battery totally fraud
negative,Pricing issue I gave bad review when I placed the order
negative,gally sarry alo very bad😡😡😡😡
neutral,PRODUCT GOOD BUT NOT FIT ME.
neutral,"Same as shown in picture, but quality is not very good delivery within 2 days"
neutral,"Got medium size, quality is normal, nicely packed,used for about 1 hour but didn't worked that much."
positive,"prompt delivery, good quality, serves the purpose"
positive,"amazing product, on time delivery."
positive,I like this handfree cover hard case bohut acha hai Jo kaha tha wohi aya hai positive seller I recommend this case good seller 🌟🌟🌟🌟🌟
positive,Best Quality Shampoo 🧴 Awesome Packing and Very Early Delivery 🚚 The Seller is Cooperative and after using this shampoo hairs become so smooth and Silky Unilever is the best Brand and DARAZ is the best platform for shipping ❤️
positive,This feeder is as great as Philips Avent in quality and saves you money compared to it. Love it.
positive,the quality of rope is amazing and it's perfect for me highly recommended
positive,Highly recommend
positive,same as shown good quality reasonable price thanks
positive,fresh n good packed
neutral,"Standing supports were missing in the package which was shown in the video.. pls explain Rest, package received as was shown Will recommend"
positive,Working fine
positive,"Product Quality 100% Amzaing, wonderful ,  Perfect, Review by SD_SANWAL 🤩👑"
negative,"1 oppo bhijwaya r 1 Samsung, ye Kya badtameezi h"
positive,product is working great thank you very much
positive,"Awesome and durable, good quality and best for home gardening, I recommend it to all buyers, thanks to honorable seller."
positive,Nice Quality Sound. 100% satisfied.
positive,"#SuperSaudaWeek show

amazing good quality great discount Asfand Yar show I collect 50% off voucher discount rs 500 & great 1kg aloo & 5kg pyaz & 1.5kg Bhindi & 0.5 kg kheera  |price RS 532  great daraz online shopping I like online shopping on daraz online shopping  #DiscoverDaraz #AsfandYar 
#DarazLive"
negative,The Puncture Air cushion delivered by daraz and company is Med & Tech. Third class products are sending in online shopping.
positive,quality product. worth buying. recommended!!
neutral,quality is okay
negative,I received the product in time.But the installation hasn't been done so far .I asked the changhong ruba representative to send their worker for installation and it has been more than 24 hours and the workers hasn't contacted yet.Also they are unavailable at UAN today bcs of sunday so installation is still pending.Whwn installed I will review about functioning as well.
positive,anyways quality of sunglasses and box r way better than others even in this price
positive,"Fresh stock and neat packaging. They seem decent and at a reasonable price. Since, I have started consuming them from a couple of days, results will be known after 20-30 days but so far I am satisfied!"
negative,its too small for gaming
positive,Best Service i received as Shown in pics
negative,There is no remote holder in the cover. The seller mentioned incorrect description
positive,brilliant. received them fresh! 
positive,"Best Prices with free delivery, Thank U, Daraz"
negative,"Volume base ki qualtiy slow hai 
No 2 per aik chlti hai thk R dosri wali chlti chlti bnd hu jati hai"
positive,it's very good product and deliver on time 
positive,"fast delivery, Soft & nyc product like it , very much satisfied with the product .thnx both daraz & seller shop 🤞🙂"
negative,"I had a terrible experience with the sexual wellness item I purchased from Daraz. The product was missing important components, rendering it unusable. The customer service was unhelpful and unresponsive, making it impossible to resolve the issue satisfactorily. I would not recommend buying such items from Daraz."
